FirstName,Alias,PB,Country,State,Playstyle
Alex,Alex H,"998,360",UK,,DAS
Alex Kerr,Kitaru,"999,999",US,CA,DAS
Alex Stroescu,AlexRFX,"1,219,011",RO,,Hypertap
Anna,Uncle Mike's Niece,"941,532",US,OH,DAS
,Anomalous,"1,057,707",US,CA,Hypertap
,Asta,"1,220,064",US,OH,Hypertap
Anthony,AZN_Anthony,"1,022,788",AU,,DAS
,Blank,"1,208,080",US,NY,TAP
,Batfoy,"1,113,800",US,MA,DAS
,Ben Mullen,"1,177,147",US,ND,DAS
,Benjy,"1,123,168",US,TX,Hypertap
Breandan,BV,"1,211,817",UK,,Hypertap
Allen,"Brodin, Brodindamp","1,316,650",US,,Hypertap
Buco,The People's Champion,"999,999",US,NY,DAS
Cheez_Fish,Cheez,"1,384,593",US,NM,Hypertap
,DaAsiann,"1,274,441",US,MI,Hypertap
Darthdreadz,"Darth, Dreadz","817,020",US,,Hybrid
Dog,dogplayingtetris,"1,386,600",US,TX,Hypertap
,Doge,"1,197,220",US,TX,Hypertap
Eli,Elijah,"999,999",US,OR,DAS
,Eren,"1,033,980",US,MA,Hypertap
Eric,EricICX,"1,312,320",US,PA,Hypertap
,Stevo,"1,064,775",US,OH,Hybrid
Feoden,"Emperor, Your_Emperor","1,005,220",US,CA,Hypertap
,Fractal,"1,265,360",US,TX,Hybrid
Greg,GregBoomCannon,"1,029,208",US,MA,Hypertap
SuPa,Harry Hong,"1,275,602",US,CA,DAS
,Hepps,"1,075,200",UK,,DAS
Huff,Huffulufugus,"1,233,500",US,GA,Hypertap
Hydrant,Hydrantdude,"1,224,460",US,MA,Hypertap
Ian,IanNibba,"1,312,300",US,HI,Hypertap
Jake,JakeGames2,"1,356,609",CA,,Hypertap
Jani,Janutzka,"1,192,280",FI,,DAS
Jazzie (Lars),Lars,"860,700",BE,,DAS
Jeff,digginout,"1,252,804",US,NV,DAS
,Jerpidude,"1,290,200",US,CO,Hypertap
Joey,Joey,"999,999",US,TX,DAS
Johann,"EngJohann, ""The standard""","959,540",BR,,DAS
Jonas,"NubbinsGoody, Nibnubs","1,245,200",US,CA,DAS
Joseph,"JD, JDMFX","1,439,173",US,CA,Hypertap
Joshua,Josh Tolles,"1,214,942",US,NE,DAS
CitricIce,Keith Wong,"1,077,921",CA,,DAS
Koryan,Koryan,"1,273,120",JP,,Hypertap
Phillip,LazerMonkey,"1,217,580",US,OK,Hypertap
Lmao,"LmaoTseTung, Hayden","1,020,240",US,CA,Hybrid
Luke,Lukeand26,"1,217,680",US,CT,Hypertap
Wing,MaiWingKos,"1,005,159",BE,,DAS
Marq,Marc Maier,"1,174,060",DE,,Hypertap
Matt,Matt Martin,"1,200,532",US,OK,DAS
Pete,MetalBeast,"999,999",US,NY,DAS
MealChuck,Mleczak (muh-luh-check),"1,015,900",PL,,Hypertap
,Moodeuce,"1,028,357",AU,,DAS
Peter,Muunas,"1,001,556",US,FL,DAS
Myles,MylesTheGreat,"1,196,260",US,AZ,Hypertap
,Neighlles,"999,999",US,OH,DAS
,Nenu,"1,305,980",ID,,Hypertap
NerdZzzzz,Leslie,"1,301,080",HK,,Hypertap
,NGC Man,"935,900",US,MI,DAS
Noel,"The1stNoel, the guitar hero","1,097,160",US,MD,Hypertap
Nolan,Eggmaster,"1,172,600",US,OH,Hypertap
Oeuf,"Ouefmeansegg, BWG Oeuf","1,193,086",US,KY,Hybrid
Ben,Opaux (not Ben Mullen),"1,194,935",US ,NJ,Hypertap
Packie,Patrick,"948,619",US ,CA,DAS
,Paul Yeo,"1,108,700",SG,,Hypertap
Ricardo,Peekayric,"1,049,026",US,TX,DAS
Pepe,Martin24,"1,146,560",AR,,DAS
Phamtom,Pham,"1,019,160",US,,Hypertap
,PixelAndy,"1,257,524",US,TX,Hypertap
,Pokenerd,"1,185,389",KR,,Hypertap
"Sean Richie, Hauser",Quaid,"1,267,740",US,,DAS
,Radmir,"1,145,280",RU,,Hypertap
,RedShurt,"1,089,720",US,OR,Hypertap
,Reed,"1,036,000",US,MI,DAS
Richard,Berenyi,"1,311,401",UK,,Hypertap
SaltedSofa,Sofa,"1,089,895",CA,,DAS
,Salvol,"850,300",DE,,DAS
Sam Finch,Oak,"1,261,040",US,MA,Hypertap
,Scamper,"993,040",UK,,DAS
Theschoolmaster,Matt Schoolmaster,"1,055,507",US,CO,DAS
Scotto,Scottobozo,"1,157,711",US,OR,DAS
,Sharky,"1,209,629",US,TX,DAS
,Sidnev,"1,028,121",NL,,Hypertap
Jordan,Smoljordan,"1,024,740",US,AZ,DAS
,Sodium,"1,231,340",US,VA,Hypertap
,SQR,"1,061,154",JP,,DAS
,Svavar,"1,190,760",IS,,DAS
Jesper,"Tega, TegaMech. MegaTech","1,157,041",SE,,DAS
Terry,Terry,"1,197,000",US,OR,DAS
,TetrisTime,"1,054,820",US,NV,Hypertap
Valor,TheMisterValor,"1,079,740",US,IL,DAS
Timothy,TimmyKim,"902,260",US,,DAS
Tom,Tom,"874,680",US,OR,Hypertap
Trey,Trey,"999,999",US,CA,DAS
,Tristop,"1,246,580",US,NY,Hypertap
,Tugi,"1,064,775",AT,,DAS
Vince,Vomce,"911,197",US,IL,DAS
Alejandro,"Xeal, Xael","1,049,692",AU,,DAS
